Date,Channel,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
6/17/2024,Direct,11571,7098,0.613430127,35.94071385,8.696396163,100626,73,0.006308876,18045.07
6/28/2024,Direct,11567,6833,0.590732256,27.21794761,7.854326965,90851,68,0.005705887,11303.21
3/26/2024,Direct,11541,2546,0.2206048,33.95771597,7.175374751,82811,138,0.006065332,21346.49
2/21/2023,Organic Search,11537,7498,0.649908988,70.2349831,6.465632313,74594,73,0.006327468,10694.89
1/31/2023,Organic Search,11505,7165,0.622772708,68.45962625,6.26440678,72072,56,0.004867449,8702.68
6/25/2024,Direct,11495,6866,0.597303175,29.6845585,8.000173989,91962,56,0.004871683,10285.7
11/25/2022,Paid Search,11479,7897,0.687951912,93.42007143,7.645787961,87766,229,0.019949473,39229.74
7/5/2024,Direct,11462,6594,0.57529227,24.10870703,7.624847322,87396,57,0.00471122,7803.15
2/15/2023,Organic Search,11449,7374,0.644073718,71.29932745,6.537252162,74845,81,0.006812822,13255.67
2/8/2023,Organic Search,11448,7187,0.627795248,68.83499301,6.37037037,72928,63,0.005503145,10260.4
6/23/2024,Direct,11428,6510,0.569653483,24.99081204,7.502275114,85736,47,0.004112706,8191
8/10/2024,Direct,11421,6859,0.600560371,27.55406707,8.857017774,101156,59,0.005165922,8701.2
6/11/2024,Direct,11412,7157,0.627146863,39.74667017,9.129863302,104190,80,0.006309148,9706.31
2/9/2023,Organic Search,11411,7373,0.646130926,66.61318026,6.386732101,72879,66,0.005696258,9901.73
2/22/2023,Organic Search,11402,7443,0.652780214,73.14953517,6.619189616,75472,75,0.006490089,13571.07
6/16/2024,Direct,11385,6862,0.602722881,36.44602547,8.279227053,94259,58,0.005006588,9571.42
1/19/2023,Organic Search,11385,7160,0.628897672,66.04286342,6.109881423,69561,67,0.005884936,9981.35
7/20/2024,Direct,11382,6733,0.591548058,27.17492532,7.823493235,89047,53,0.004568617,11035.63
6/14/2024,Direct,11376,7091,0.623329817,37.56381857,8.968178622,102022,97,0.008438819,18357.74
8/11/2024,Direct,11363,6842,0.602129719,29.54695063,8.755434304,99488,48,0.004136232,8493.55
2/24/2023,Organic Search,11361,7398,0.651175073,70.90555409,6.547046915,74381,76,0.006689552,10035.19
2/17/2023,Organic Search,11353,7130,0.628027834,68.6577997,6.442526205,73142,80,0.007046596,12620.46
2/20/2023,Organic Search,11349,7283,0.641730549,66.27253503,6.31104062,71624,75,0.006608512,11617.6
10/18/2022,Organic Search,11344,7174,0.632404795,67.13249295,6.131258815,69553,80,0.007052186,11423.24
3/9/2023,Organic Search,11326,7283,0.643033728,65.5641003,6.361380894,72049,68,0.006003885,11147.94
3/22/2023,Organic Search,11317,7195,0.635769197,68.23053813,6.341963418,71772,73,0.00636211,13068.32
2/2/2023,Organic Search,11315,7376,0.651878038,72.50693769,6.577905435,74429,83,0.007335395,14749.47
4/3/2024,Direct,11314,2509,0.221760651,37.34550115,7.519268163,85073,214,0.00945731,38566.92
3/16/2023,Organic Search,11308,7241,0.64034312,63.89724089,6.202157764,70134,66,0.005748143,11443.83
3/28/2023,Organic Search,11258,7098,0.630484988,66.9782377,6.554361343,73789,71,0.006128975,13102.86
3/24/2023,Organic Search,11254,7064,0.627687933,65.14510396,6.338990581,71339,80,0.007019726,11741.41
2/19/2024,Direct,11250,5363,0.476711111,81.4,11.80542222,132811,160,0.014044444,23213.52
7/28/2024,Direct,11232,6768,0.602564103,29.07603276,7.87366453,88437,45,0.003917379,9366.05
7/6/2024,Direct,11225,6469,0.576302895,22.91340757,7.316080178,82123,50,0.004454343,8865.76
3/15/2023,Organic Search,11211,6864,0.61225582,65.93524217,6.169476407,69166,56,0.004995094,8801.31
6/30/2024,Direct,11209,6379,0.569096262,23.64162726,7.423677402,83212,42,0.003657775,6680.55
6/12/2024,Direct,11178,7173,0.641706924,37.07004831,9.190821256,102735,94,0.008230453,28187.91
1/17/2023,Organic Search,11168,6933,0.620791547,75.30981375,6.273459885,70062,57,0.005103868,8708.62
3/21/2023,Organic Search,11167,7010,0.627742455,68.51141757,6.375749978,71198,59,0.005283424,8921.05
10/12/2022,Organic Search,11166,7112,0.636933548,68.58624395,6.372828229,71159,70,0.006269031,10806.89
2/6/2023,Organic Search,11146,7181,0.644267002,70.65951911,6.554997308,73062,76,0.006728871,10470.5
3/29/2024,Direct,11139,2394,0.214920549,38.27686507,7.52473292,83818,160,0.007181973,26484.5
3/23/2023,Organic Search,11138,7019,0.630184952,65.94487341,6.26054947,69730,73,0.006554139,9083.24
9/20/2022,Organic Search,11112,7208,0.648668107,70.76610871,6.398218143,71097,85,0.007649388,10063.16
3/24/2024,Direct,11107,2289,0.206086252,32.2889169,7.2851355,80916,122,0.005492032,16044.05
3/19/2024,Direct,11106,2690,0.242211417,38.13398163,7.907257338,87818,168,0.007563479,27357.71
1/4/2023,Organic Search,11090,7037,0.634535618,64.36041479,6.224346258,69028,69,0.006221821,10470.31
