Channel,Year,Month,Sessions,Engaged sessions,Engagement rate,Event count,Total revenue
Organic Shopping,2023,July,2080,473,0.22887088067741937,10100,1341.02
Organic Social,2023,July,12080,8389,0.6930211864516129,109311,8466.58
Organic Video,2023,July,1569,1036,0.6486379688709678,13808,953.3399999999999
Paid Other,2023,July,74,9,0.08678160915,281,0.0
Paid Search,2023,July,108887,77061,0.7081347178387097,1293900,311508.15
Paid Shopping,2023,July,419,264,0.5321088676,3482,97.79
Cross-network,2023,August,34217,23290,0.6798254253870968,343314,50909.340000000004
Direct,2023,August,225179,110206,0.48879191506451614,2116582,464631.2
Organic Search,2023,August,189720,124227,0.6549680066129032,1987725,348505.59
Organic Shopping,2023,August,2693,573,0.21434431838709678,13526,754.21
Organic Social,2023,August,15825,10881,0.7111421153548387,146063,17163.82
Organic Video,2023,August,1676,977,0.5933138439354838,15333,1565.02
Paid Other,2023,August,716,127,0.19629939667741936,3144,0.0
Paid Search,2023,August,132820,93487,0.7043826785483871,1648033,361281.2
Paid Shopping,2023,August,1400,903,0.707825221,13682,1423.57
Cross-network,2023,September,34734,24016,0.6907720978,373444,61138.87
Direct,2023,September,198577,94788,0.4815449563666666,1974701,434379.61
Organic Search,2023,September,173707,115034,0.6623034108666667,1926975,345551.63
Organic Shopping,2023,September,3305,615,0.20733598993333333,16983,1447.88
Organic Social,2023,September,5879,3931,0.6633483920666666,57969,4435.03
Organic Video,2023,September,1148,675,0.5857712021666667,11933,1352.01
Paid Other,2023,September,344,47,0.1810439044,1639,0.0
Paid Search,2023,September,116137,82855,0.7133772842,1529990,345321.25
Paid Shopping,2023,September,9030,4922,0.5440705840666666,70580,3585.22
Cross-network,2023,October,40447,26631,0.6555983113548387,532060,83289.71
Direct,2023,October,196768,104127,0.5398817658064516,2364783,461010.9
Organic Search,2023,October,214565,137304,0.6399039616774194,2896169,399511.37
Organic Shopping,2023,October,2863,684,0.30241131796774195,17403,905.56
Organic Social,2023,October,8078,5415,0.6554281516774194,105790,8864.23
Organic Video,2023,October,820,514,0.6353892364838709,10341,2481.7799999999997
Paid Other,2023,October,97,52,0.30870439076190476,1276,106.48
Paid Search,2023,October,147399,101784,0.6852631951935484,2374830,458895.7
Paid Shopping,2023,October,9962,5549,0.5658707731290322,101381,5120.2300000000005
Cross-network,2023,November,42466,28934,0.6804609687333334,530483,80033.88
Direct,2023,November,207632,111441,0.5406755821333333,2466112,549566.91
Organic Search,2023,November,212313,138150,0.6505107267333333,2716410,394630.87
Organic Shopping,2023,November,4135,803,0.19440017303333335,21867,1082.83
Organic Social,2023,November,14233,9889,0.6965015674666667,185540,17403.45
Organic Video,2023,November,796,499,0.6369130852,9145,413.47
Paid Other,2023,November,12,1,0.1111111111111111,50,0.0
Paid Search,2023,November,161818,114450,0.7068169811666666,2565799,517422.94
Paid Shopping,2023,November,11809,7291,0.6144086752333333,113522,4046.88
Cross-network,2023,December,33283,22840,0.6848946747419355,441524,68352.37
Direct,2023,December,204450,123558,0.6066680184193549,2786783,624086.73
Organic Search,2023,December,161568,102327,0.6314697100645161,1963096,308239.26
Organic Shopping,2023,December,2947,625,0.21040806158064515,17165,1303.05
Organic Social,2023,December,3442,2282,0.6753896447741935,41819,5071.64
Organic Video,2023,December,482,315,0.6499143448387097,5609,365.5
Paid Other,2023,December,12,2,0.2222222222222222,50,0.0
Paid Search,2023,December,102199,72262,0.7088654269032258,1681336,361076.52
Paid Shopping,2023,December,4331,2520,0.5813607290967743,41129,1537.54
Cross-network,2024,January,27613,18776,0.6781308260967741,386296,76229.26
Direct,2024,January,226136,150668,0.6659444285161291,3463013,719981.49
Organic Search,2024,January,144591,93280,0.6446739373225806,1859511,306736.8
Organic Shopping,2024,January,1784,374,0.21223563819354838,10204,1592.1999999999998
Organic Social,2024,January,4439,3021,0.6722481211612903,65557,8938.03
Organic Video,2024,January,339,232,0.668200331516129,4487,939.46
Paid Search,2024,January,87514,63434,0.7244834072580645,1525025,351190.54
Paid Shopping,2024,January,3666,2117,0.5795761332258065,37223,2021.76
Cross-network,2024,February,27882,18864,0.6753240124827586,379895,72417.65
Direct,2024,February,253176,133864,0.5369950195172414,3200214,592279.63
Organic Search,2024,February,176548,115728,0.6555949031034484,2111441,313778.63
Organic Shopping,2024,February,2118,401,0.1889527132413793,11662,1577.31
Organic Social,2024,February,2592,1742,0.6731089038275863,33031,3137.67
Organic Video,2024,February,353,225,0.6367071146551724,5004,558.29
Paid Other,2024,February,13,3,0.3125,51,0.0
Paid Search,2024,February,102637,74891,0.729731061137931,1770771,384545.6
Paid Shopping,2024,February,3305,1936,0.5835951884827586,32618,1917.75
Cross-network,2024,March,32344,22391,0.6901921486451612,442513,96527.19
Direct,2024,March,334635,96100,0.283279817,2798966,601684.96
Organic Search,2024,March,218225,144987,0.6640809321290323,2610207,513674.8
Organic Shopping,2024,March,3613,655,0.18606431358064515,19644,2269.83
Organic Social,2024,March,5792,3999,0.687118719516129,68441,8792.789999999999
Organic Video,2024,March,561,357,0.6503454441935483,7395,1768.69
Paid Search,2024,March,132487,98233,0.7415856612258064,2369214,769870.42
Paid Shopping,2024,March,6226,3679,0.5935822841612903,58212,3448.62
Cross-network,2024,April,28272,19408,0.6846979713333333,378829,92995.38
Direct,2024,April,247068,69821,0.3239178171,2022657,528332.25
Organic Search,2024,April,219554,145717,0.6637542541333333,2602537,580403.73
Organic Shopping,2024,April,3978,622,0.15821746379999999,21708,3212.2400000000002
Organic Social,2024,April,7236,5214,0.7220451633666667,88630,7047.79
Organic Video,2024,April,578,362,0.6286858562666667,7699,1791.22
Paid Other,2024,April,2,0,0.0,6,0.0
Paid Search,2024,April,129208,95655,0.7404569579333333,2309714,747830.94
Paid Shopping,2024,April,5917,3646,0.6169358676666667,57573,6756.07
Cross-network,2024,May,19559,13690,0.6956579067741936,301751,791567.65
Direct,2024,May,234243,104432,0.46959511583870966,2847383,9091482.59
Organic Search,2024,May,171732,115159,0.6677933209677419,2386399,15051780.52
Organic Shopping,2024,May,2143,567,0.2645476491935484,14221,30252.75
Organic Social,2024,May,3562,2500,0.6805178089032258,51031,1368592.27
Organic Video,2024,May,378,242,0.6328304735806453,6732,11989.98
Paid Other,2024,May,454,60,0.22750040993333334,2106,1590.63
Paid Search,2024,May,99269,73841,0.7420435286129032,2064243,6547720.15
Paid Shopping,2024,May,4569,2779,0.5928925387741936,52395,51495.729999999996
Cross-network,2024,June,19961,17297,0.863276787,310917,35595.0
Direct,2024,June,311011,187923,0.6033940590666667,2770323,471514.06
Organic Search,2024,June,173986,145498,0.8302108710666667,2441554,349634.91
Organic Shopping,2024,June,1857,1027,0.5377616993000001,13382,1691.75
Organic Social,2024,June,3857,3126,0.8039340015333334,47995,2919.9300000000003
Organic Video,2024,June,372,303,0.8240725450333334,5275,529.74
Paid Other,2024,June,278,81,0.27685505666666665,1209,0.0
Paid Search,2024,June,101445,89425,0.8763196947333333,2200541,383861.3
Paid Shopping,2024,June,6487,5373,0.8154280355333333,70609,922.98
Cross-network,2024,July,20853,18837,0.9037305892580645,330313,30271.85
Direct,2024,July,376457,228585,0.6063785562258065,3043740,373057.88
Organic Search,2024,July,194749,167887,0.862315158,2766459,263767.62
Organic Shopping,2024,July,3419,2565,0.7489396415483871,22835,37.25
Organic Social,2024,July,4034,3496,0.8674193071290323,55625,1772.66
Organic Video,2024,July,393,337,0.8610250301612903,5986,317.75
Paid Other,2024,July,180,80,0.7172983077727273,1361,0.0
Paid Search,2024,July,118945,108371,0.9117231788064516,2605122,429917.83
Paid Shopping,2024,July,6360,5530,0.869404277516129,72998,2092.58
Cross-network,2024,August,25548,22844,0.8947032646451614,490354,33705.95
Direct,2024,August,235728,159322,0.7267724495483872,2761313,370806.1
Organic Search,2024,August,210151,180295,0.8581433220645162,3573057,272806.2
Organic Shopping,2024,August,7274,5777,0.7888339425806452,99127,4665.22
Organic Social,2024,August,4223,3467,0.831971078032258,64811,1943.33
Organic Video,2024,August,406,338,0.8336883857419355,7570,636.99
Paid Other,2024,August,1030,693,0.7379013668387097,9729,0.0
Paid Search,2024,August,119780,108339,0.9048045259677419,3171112,407336.67
Paid Shopping,2024,August,7214,6332,0.8771386946129032,101822,1885.08
Cross-network,2024,September,26701,23816,0.8923241348666667,507580,38472.76
Direct,2024,September,127121,105132,0.8268913154333333,2252657,295757.38
Organic Search,2024,September,189400,163067,0.8612431817,3338434,233302.75
Organic Shopping,2024,September,4050,3455,0.8640307704333333,72475,6360.15
Organic Social,2024,September,4278,3608,0.8489784424333333,75218,2737.88
Organic Video,2024,September,397,338,0.8418389780333333,8502,255.5
Paid Other,2024,September,582,365,0.6894444902,6727,0.0
Paid Search,2024,September,122795,110911,0.9034158198666666,3289300,369483.21
Paid Shopping,2024,September,8361,7335,0.8770427251,117690,2317.99
Cross-network,2024,October,48702,25626,0.5279102541290323,568130,59495.21
Direct,2024,October,162335,71173,0.43910748503225805,1791301,321496.64
Organic Search,2024,October,261945,129516,0.49519443732258067,2784341,253881.16999999998
Organic Shopping,2024,October,3888,1878,0.4813352380967742,44709,6296.02
Organic Social,2024,October,5233,2216,0.4271411779354839,53135,4395.33
Organic Video,2024,October,552,255,0.46726388932258067,6391,150.4
Paid Other,2024,October,2316,360,0.16616184277419355,11341,0.0
Paid Search,2024,October,165239,92366,0.5596471994193548,2648823,414878.57
Paid Shopping,2024,October,1220,350,0.26461745329032255,7975,698.23
Cross-network,2024,November,46410,24052,0.5180071936,560112,59379.38
Direct,2024,November,195838,88285,0.45029087283333336,2122650,380104.39
Organic Search,2024,November,267883,131496,0.4909627712666667,2804451,249882.83000000002
Organic Shopping,2024,November,2905,1414,0.48607790630000003,36716,5751.22
Organic Social,2024,November,7919,3768,0.44458993646666667,90924,9251.2
Organic Video,2024,November,421,170,0.4188471322333333,4541,308.74
Paid Other,2024,November,1300,267,0.19954418753333333,7039,332.5
Paid Search,2024,November,165796,92655,0.5589811762,2683188,443259.38
Paid Shopping,2024,November,49,20,0.45,488,0.0
Cross-network,2024,December,51735,27148,0.5249671743548388,598730,64212.42
Direct,2024,December,194276,90305,0.4655101176451613,2130374,378177.02
Organic Search,2024,December,268856,135021,0.5022060113548387,2827046,284160.08
Organic Shopping,2024,December,2528,1227,0.4814767692580645,29371,5216.02
Organic Social,2024,December,6395,2595,0.4130374200322581,62114,3071.92
Organic Video,2024,December,437,227,0.5377552230645161,5732,185.0
Paid Other,2024,December,2056,314,0.16065613687096772,10566,0.0
Paid Search,2024,December,160307,90710,0.5659501324193549,2577132,444524.93
Paid Shopping,2024,December,694,208,0.2727531978076923,4982,87.5
Cross-network,2025,January,57045,30252,0.5303432016451614,659782,84894.22
Direct,2025,January,203758,95015,0.46680576322580647,2224909,371156.18
Organic Search,2025,January,290721,146728,0.5048036196451613,3021496,278235.31
Organic Shopping,2025,January,2695,1390,0.5127729422580645,35104,7350.71
Organic Social,2025,January,6137,2647,0.43252036287096773,59126,3625.54
Organic Video,2025,January,604,249,0.42151407287096776,6056,640.75
Paid Other,2025,January,1074,194,0.17374100183870966,5492,0.0
Paid Search,2025,January,154916,87958,0.5679996504516128,2436787,390464.37
Paid Shopping,2025,January,2043,594,0.28294976103225805,12927,2204.0
